date,location,source,value,class
2020-03-04,Miami,venues google,3.0,retail_and_recreation
2020-03-04,Miami,venues google,5.0,grocery_and_pharmacy
2020-03-04,Miami,venues google,-3.0,transit_stations
2020-03-04,Miami,venues google,3.0,workplaces
2020-03-04,Miami,venues google,-1.0,parks
2020-03-05,Miami,venues google,0.0,residential
2020-03-05,Miami,venues google,2.0,retail_and_recreation
2020-03-05,Miami,venues google,6.0,grocery_and_pharmacy
2020-03-05,Miami,venues google,-3.0,transit_stations
2020-03-05,Miami,venues google,2.0,workplaces
2020-03-05,Miami,venues google,-2.0,parks
2020-03-06,Miami,venues google,0.0,residential
2020-03-06,Miami,venues google,1.0,retail_and_recreation
2020-03-06,Miami,venues google,4.0,grocery_and_pharmacy
2020-03-06,Miami,venues google,-7.0,transit_stations
2020-03-06,Miami,venues google,3.0,workplaces
2020-03-06,Miami,venues google,-6.0,parks
2020-03-07,Miami,venues google,0.0,residential
2020-03-07,Miami,venues google,2.0,retail_and_recreation
2020-03-07,Miami,venues google,3.0,grocery_and_pharmacy
2020-03-07,Miami,venues google,-6.0,transit_stations
2020-03-07,Miami,venues google,2.0,workplaces
2020-03-07,Miami,venues google,-3.0,parks
2020-03-08,Miami,venues google,1.0,residential
2020-03-08,Miami,venues google,0.0,retail_and_recreation
2020-03-08,Miami,venues google,1.0,grocery_and_pharmacy
2020-03-08,Miami,venues google,-10.0,transit_stations
2020-03-08,Miami,venues google,-1.0,workplaces
2020-03-08,Miami,venues google,-18.0,parks
2020-03-09,Miami,venues google,1.0,residential
2020-03-09,Miami,venues google,2.0,retail_and_recreation
2020-03-09,Miami,venues google,4.0,grocery_and_pharmacy
2020-03-09,Miami,venues google,-7.0,transit_stations
2020-03-09,Miami,venues google,2.0,workplaces
2020-03-09,Miami,venues google,-5.0,parks
2020-03-10,Miami,venues google,1.0,residential
2020-03-10,Miami,venues google,3.0,retail_and_recreation
2020-03-10,Miami,venues google,7.0,grocery_and_pharmacy
2020-03-10,Miami,venues google,-5.0,transit_stations
2020-03-10,Miami,venues google,1.0,workplaces
2020-03-10,Miami,venues google,2.0,parks
2020-03-11,Miami,venues google,1.0,residential
2020-03-11,Miami,venues google,2.0,retail_and_recreation
2020-03-11,Miami,venues google,8.0,grocery_and_pharmacy
2020-03-11,Miami,venues google,-9.0,transit_stations
2020-03-11,Miami,venues google,1.0,workplaces
2020-03-11,Miami,venues google,-1.0,parks
2020-03-12,Miami,venues google,1.0,residential
2020-03-12,Miami,venues google,1.0,retail_and_recreation
2020-03-12,Miami,venues google,24.0,grocery_and_pharmacy
2020-03-12,Miami,venues google,-11.0,transit_stations
2020-03-12,Miami,venues google,0.0,workplaces
2020-03-12,Miami,venues google,-3.0,parks
2020-03-13,Miami,venues google,2.0,residential
2020-03-13,Miami,venues google,-2.0,retail_and_recreation
2020-03-13,Miami,venues google,27.0,grocery_and_pharmacy
2020-03-13,Miami,venues google,-14.0,transit_stations
2020-03-13,Miami,venues google,0.0,workplaces
2020-03-13,Miami,venues google,-6.0,parks
2020-03-14,Miami,venues google,4.0,residential
2020-03-14,Miami,venues google,-10.0,retail_and_recreation
2020-03-14,Miami,venues google,17.0,grocery_and_pharmacy
2020-03-14,Miami,venues google,-19.0,transit_stations
2020-03-14,Miami,venues google,-2.0,workplaces
2020-03-14,Miami,venues google,-21.0,parks
2020-03-15,Miami,venues google,5.0,residential
2020-03-15,Miami,venues google,-16.0,retail_and_recreation
2020-03-15,Miami,venues google,4.0,grocery_and_pharmacy
2020-03-15,Miami,venues google,-21.0,transit_stations
2020-03-15,Miami,venues google,-6.0,workplaces
2020-03-15,Miami,venues google,-17.0,parks
