date,location,src,value
2020-03-01,San Francisco,indexed regular member,77.0
2020-03-02,San Francisco,indexed regular member,97.0
2020-03-03,San Francisco,indexed regular member,95.0
2020-03-04,San Francisco,indexed regular member,101.0
2020-03-05,San Francisco,indexed regular member,100.0
2020-03-06,San Francisco,indexed regular member,112.0
2020-03-07,San Francisco,indexed regular member,89.0
2020-03-08,San Francisco,indexed regular member,76.0
2020-03-09,San Francisco,indexed regular member,78.0
2020-03-10,San Francisco,indexed regular member,84.0
2020-03-11,San Francisco,indexed regular member,87.0
2020-03-12,San Francisco,indexed regular member,81.0
2020-03-13,San Francisco,indexed regular member,87.0
2020-03-14,San Francisco,indexed regular member,38.0
2020-03-15,San Francisco,indexed regular member,19.0
2020-03-16,San Francisco,indexed regular member,48.0
2020-03-17,San Francisco,indexed regular member,2.0
2020-03-18,San Francisco,indexed regular member,2.0
2020-03-19,San Francisco,indexed regular member,1.0
2020-03-20,San Francisco,indexed regular member,3.0
2020-03-21,San Francisco,indexed regular member,1.0
2020-03-22,San Francisco,indexed regular member,1.0
2020-03-23,San Francisco,indexed regular member,0.0
2020-03-24,San Francisco,indexed regular member,0.0
2020-03-25,San Francisco,indexed regular member,1.0
2020-03-26,San Francisco,indexed regular member,0.0
2020-03-27,San Francisco,indexed regular member,1.0
2020-03-28,San Francisco,indexed regular member,0.0
2020-03-29,San Francisco,indexed regular member,0.0
2020-03-30,San Francisco,indexed regular member,0.0
2020-03-31,San Francisco,indexed regular member,0.0
2020-04-01,San Francisco,indexed regular member,0.0
2020-04-02,San Francisco,indexed regular member,1.0
2020-04-03,San Francisco,indexed regular member,1.0
2020-04-04,San Francisco,indexed regular member,0.0
2020-04-05,San Francisco,indexed regular member,0.0
2020-04-06,San Francisco,indexed regular member,0.0
2020-04-07,San Francisco,indexed regular member,0.0
2020-04-08,San Francisco,indexed regular member,0.0
2020-04-09,San Francisco,indexed regular member,0.0
2020-04-10,San Francisco,indexed regular member,1.0
2020-04-11,San Francisco,indexed regular member,0.0
2020-04-12,San Francisco,indexed regular member,0.0
2020-04-13,San Francisco,indexed regular member,0.0
2020-04-14,San Francisco,indexed regular member,0.0
2020-04-15,San Francisco,indexed regular member,0.0
2020-04-16,San Francisco,indexed regular member,0.0
2020-04-17,San Francisco,indexed regular member,0.0
2020-04-18,San Francisco,indexed regular member,0.0
2020-04-19,San Francisco,indexed regular member,0.0
2020-04-21,San Francisco,indexed regular member,0.0
2020-04-22,San Francisco,indexed regular member,0.0
2020-04-23,San Francisco,indexed regular member,0.0
2020-04-24,San Francisco,indexed regular member,0.0
2020-04-25,San Francisco,indexed regular member,0.0
2020-04-26,San Francisco,indexed regular member,0.0
2020-04-27,San Francisco,indexed regular member,0.0
2020-04-28,San Francisco,indexed regular member,0.0
2020-04-29,San Francisco,indexed regular member,0.0
2020-04-30,San Francisco,indexed regular member,0.0
2020-05-01,San Francisco,indexed regular member,1.0
2020-05-02,San Francisco,indexed regular member,1.0
2020-05-03,San Francisco,indexed regular member,1.0
2020-05-04,San Francisco,indexed regular member,0.0
2020-05-05,San Francisco,indexed regular member,0.0
2020-05-06,San Francisco,indexed regular member,0.0
2020-05-07,San Francisco,indexed regular member,0.0
2020-05-08,San Francisco,indexed regular member,0.0
2020-05-09,San Francisco,indexed regular member,0.0
2020-05-10,San Francisco,indexed regular member,0.0
2020-05-11,San Francisco,indexed regular member,0.0
2020-05-12,San Francisco,indexed regular member,0.0
2020-05-13,San Francisco,indexed regular member,0.0
2020-05-14,San Francisco,indexed regular member,0.0
2020-05-15,San Francisco,indexed regular member,4.0
2020-05-16,San Francisco,indexed regular member,2.0
2020-05-17,San Francisco,indexed regular member,0.0
2020-05-18,San Francisco,indexed regular member,0.0
2020-05-19,San Francisco,indexed regular member,1.0
2020-05-20,San Francisco,indexed regular member,1.0
2020-05-21,San Francisco,indexed regular member,3.0
2020-05-22,San Francisco,indexed regular member,8.0
2020-05-23,San Francisco,indexed regular member,4.0
2020-05-24,San Francisco,indexed regular member,4.0
2020-05-25,San Francisco,indexed regular member,2.0
2020-05-26,San Francisco,indexed regular member,4.0
2020-05-27,San Francisco,indexed regular member,2.0
2020-05-28,San Francisco,indexed regular member,4.0
2020-05-30,San Francisco,indexed regular member,1.0
2020-05-31,San Francisco,indexed regular member,1.0
2020-06-01,San Francisco,indexed regular member,3.0
2020-06-02,San Francisco,indexed regular member,6.0
2020-06-03,San Francisco,indexed regular member,5.0
2020-06-04,San Francisco,indexed regular member,9.0
2020-06-05,San Francisco,indexed regular member,13.0
2020-06-06,San Francisco,indexed regular member,14.0
2020-06-07,San Francisco,indexed regular member,2.0
2020-06-08,San Francisco,indexed regular member,12.0
2020-06-09,San Francisco,indexed regular member,2.0
2020-06-10,San Francisco,indexed regular member,14.0
2020-06-11,San Francisco,indexed regular member,12.0
2020-06-12,San Francisco,indexed regular member,14.0
2020-06-13,San Francisco,indexed regular member,21.0
2020-06-14,San Francisco,indexed regular member,3.0
2020-06-15,San Francisco,indexed regular member,8.0
2020-06-16,San Francisco,indexed regular member,4.0
2020-06-17,San Francisco,indexed regular member,12.0
2020-06-18,San Francisco,indexed regular member,27.0
2020-06-19,San Francisco,indexed regular member,42.0
2020-06-20,San Francisco,indexed regular member,20.0
2020-06-21,San Francisco,indexed regular member,3.0
2020-06-22,San Francisco,indexed regular member,12.0
2020-06-23,San Francisco,indexed regular member,14.0
2020-06-24,San Francisco,indexed regular member,26.0
2020-06-25,San Francisco,indexed regular member,14.0
2020-06-26,San Francisco,indexed regular member,37.0
2020-06-27,San Francisco,indexed regular member,38.0
2020-06-28,San Francisco,indexed regular member,7.0
2020-06-29,San Francisco,indexed regular member,19.0
2020-06-30,San Francisco,indexed regular member,27.0
2020-07-01,San Francisco,indexed regular member,27.0
2020-07-02,San Francisco,indexed regular member,34.0
2020-07-03,San Francisco,indexed regular member,37.0
2020-07-04,San Francisco,indexed regular member,12.0
2020-07-05,San Francisco,indexed regular member,9.0
2020-07-06,San Francisco,indexed regular member,30.0
2020-07-07,San Francisco,indexed regular member,22.0
2020-07-08,San Francisco,indexed regular member,21.0
2020-07-09,San Francisco,indexed regular member,24.0
2020-07-10,San Francisco,indexed regular member,23.0
2020-07-11,San Francisco,indexed regular member,32.0
2020-07-12,San Francisco,indexed regular member,11.0
2020-07-13,San Francisco,indexed regular member,13.0
2020-07-14,San Francisco,indexed regular member,16.0
2020-07-15,San Francisco,indexed regular member,11.0
2020-07-16,San Francisco,indexed regular member,13.0
2020-07-17,San Francisco,indexed regular member,12.0
2020-07-18,San Francisco,indexed regular member,4.0
2020-07-19,San Francisco,indexed regular member,8.0
2020-07-20,San Francisco,indexed regular member,8.0
2020-07-21,San Francisco,indexed regular member,9.0
2020-07-22,San Francisco,indexed regular member,12.0
2020-07-23,San Francisco,indexed regular member,9.0
2020-07-24,San Francisco,indexed regular member,18.0
2020-07-25,San Francisco,indexed regular member,11.0
2020-07-26,San Francisco,indexed regular member,3.0
2020-07-27,San Francisco,indexed regular member,11.0
2020-07-28,San Francisco,indexed regular member,12.0
2020-07-29,San Francisco,indexed regular member,13.0
2020-07-30,San Francisco,indexed regular member,13.0
2020-07-31,San Francisco,indexed regular member,26.0
2020-08-01,San Francisco,indexed regular member,19.0
2020-08-02,San Francisco,indexed regular member,2.0
2020-08-03,San Francisco,indexed regular member,14.0
2020-08-04,San Francisco,indexed regular member,14.0
2020-08-05,San Francisco,indexed regular member,19.0
2020-08-06,San Francisco,indexed regular member,17.0
2020-08-07,San Francisco,indexed regular member,22.0
2020-08-08,San Francisco,indexed regular member,23.0
2020-08-09,San Francisco,indexed regular member,7.0
2020-08-10,San Francisco,indexed regular member,11.0
2020-08-11,San Francisco,indexed regular member,15.0
2020-08-12,San Francisco,indexed regular member,17.0
2020-08-13,San Francisco,indexed regular member,20.0
2020-08-14,San Francisco,indexed regular member,24.0
2020-08-15,San Francisco,indexed regular member,29.0
2020-08-16,San Francisco,indexed regular member,1.0
2020-08-17,San Francisco,indexed regular member,9.0
2020-08-18,San Francisco,indexed regular member,22.0
2020-08-19,San Francisco,indexed regular member,12.0
2020-08-20,San Francisco,indexed regular member,18.0
2020-08-21,San Francisco,indexed regular member,32.0
2020-08-22,San Francisco,indexed regular member,26.0
2020-08-23,San Francisco,indexed regular member,6.0
2020-08-24,San Francisco,indexed regular member,17.0
2020-08-25,San Francisco,indexed regular member,17.0
2020-08-26,San Francisco,indexed regular member,12.0
2020-08-27,San Francisco,indexed regular member,19.0
2020-08-28,San Francisco,indexed regular member,26.0
2020-08-29,San Francisco,indexed regular member,32.0
2020-08-30,San Francisco,indexed regular member,5.0
2020-08-31,San Francisco,indexed regular member,16.0
2020-09-01,San Francisco,indexed regular member,24.0
2020-09-02,San Francisco,indexed regular member,28.0
2020-09-03,San Francisco,indexed regular member,25.0
2020-09-04,San Francisco,indexed regular member,37.0
2020-09-05,San Francisco,indexed regular member,31.0
2020-09-06,San Francisco,indexed regular member,30.0
2020-09-07,San Francisco,indexed regular member,13.0
2020-09-08,San Francisco,indexed regular member,17.0
2020-09-09,San Francisco,indexed regular member,19.0
2020-09-10,San Francisco,indexed regular member,15.0
2020-09-11,San Francisco,indexed regular member,20.0
2020-09-12,San Francisco,indexed regular member,18.0
2020-09-13,San Francisco,indexed regular member,5.0
2020-09-14,San Francisco,indexed regular member,22.0
2020-09-15,San Francisco,indexed regular member,17.0
2020-09-16,San Francisco,indexed regular member,29.0
2020-09-17,San Francisco,indexed regular member,26.0
2020-09-18,San Francisco,indexed regular member,44.0
2020-09-19,San Francisco,indexed regular member,40.0
2020-09-20,San Francisco,indexed regular member,22.0
2020-09-21,San Francisco,indexed regular member,24.0
2020-09-22,San Francisco,indexed regular member,16.0
2020-09-23,San Francisco,indexed regular member,24.0
2020-09-24,San Francisco,indexed regular member,26.0
2020-09-25,San Francisco,indexed regular member,47.0
2020-09-26,San Francisco,indexed regular member,43.0
2020-09-27,San Francisco,indexed regular member,19.0
2020-09-28,San Francisco,indexed regular member,20.0
2020-09-29,San Francisco,indexed regular member,33.0
2020-09-30,San Francisco,indexed regular member,41.0
2020-10-01,San Francisco,indexed regular member,63.0
2020-10-02,San Francisco,indexed regular member,53.0
2020-10-03,San Francisco,indexed regular member,38.0
2020-10-04,San Francisco,indexed regular member,15.0
