date,location,src,value
2020-07-07,Miami,indexed regular member,59.0
2020-07-08,Miami,indexed regular member,64.0
2020-07-09,Miami,indexed regular member,62.0
2020-07-10,Miami,indexed regular member,66.0
2020-07-11,Miami,indexed regular member,43.0
2020-07-12,Miami,indexed regular member,33.0
2020-07-13,Miami,indexed regular member,61.0
2020-07-14,Miami,indexed regular member,73.0
2020-07-15,Miami,indexed regular member,63.0
2020-07-16,Miami,indexed regular member,57.0
2020-07-17,Miami,indexed regular member,81.0
2020-07-18,Miami,indexed regular member,36.0
2020-07-19,Miami,indexed regular member,24.0
2020-07-20,Miami,indexed regular member,46.0
2020-07-21,Miami,indexed regular member,48.0
2020-07-22,Miami,indexed regular member,46.0
2020-07-23,Miami,indexed regular member,48.0
2020-07-24,Miami,indexed regular member,60.0
2020-07-25,Miami,indexed regular member,36.0
2020-07-26,Miami,indexed regular member,17.0
2020-07-27,Miami,indexed regular member,46.0
2020-07-28,Miami,indexed regular member,53.0
2020-07-29,Miami,indexed regular member,51.0
2020-07-30,Miami,indexed regular member,53.0
2020-07-31,Miami,indexed regular member,56.0
2020-08-01,Miami,indexed regular member,15.0
2020-08-02,Miami,indexed regular member,0.0
2020-08-03,Miami,indexed regular member,38.0
2020-08-04,Miami,indexed regular member,55.0
2020-08-05,Miami,indexed regular member,59.0
2020-08-06,Miami,indexed regular member,53.0
2020-08-07,Miami,indexed regular member,63.0
2020-08-08,Miami,indexed regular member,52.0
2020-08-09,Miami,indexed regular member,23.0
2020-08-10,Miami,indexed regular member,56.0
2020-08-11,Miami,indexed regular member,62.0
2020-08-12,Miami,indexed regular member,59.0
2020-08-13,Miami,indexed regular member,61.0
2020-08-14,Miami,indexed regular member,70.0
2020-08-15,Miami,indexed regular member,56.0
2020-08-16,Miami,indexed regular member,22.0
2020-08-17,Miami,indexed regular member,54.0
2020-08-18,Miami,indexed regular member,61.0
2020-08-19,Miami,indexed regular member,56.0
2020-08-20,Miami,indexed regular member,63.0
2020-08-21,Miami,indexed regular member,77.0
2020-08-22,Miami,indexed regular member,58.0
2020-08-23,Miami,indexed regular member,29.0
2020-08-24,Miami,indexed regular member,58.0
2020-08-25,Miami,indexed regular member,67.0
2020-08-26,Miami,indexed regular member,69.0
2020-08-27,Miami,indexed regular member,67.0
2020-08-28,Miami,indexed regular member,78.0
2020-08-29,Miami,indexed regular member,62.0
2020-08-30,Miami,indexed regular member,27.0
2020-08-31,Miami,indexed regular member,52.0
2020-09-01,Miami,indexed regular member,62.0
2020-09-02,Miami,indexed regular member,69.0
2020-09-03,Miami,indexed regular member,70.0
2020-09-04,Miami,indexed regular member,78.0
2020-09-05,Miami,indexed regular member,58.0
2020-09-06,Miami,indexed regular member,37.0
2020-09-07,Miami,indexed regular member,34.0
2020-09-08,Miami,indexed regular member,58.0
2020-09-09,Miami,indexed regular member,62.0
2020-09-10,Miami,indexed regular member,63.0
2020-09-11,Miami,indexed regular member,75.0
2020-09-12,Miami,indexed regular member,37.0
2020-09-13,Miami,indexed regular member,28.0
2020-09-14,Miami,indexed regular member,61.0
2020-09-15,Miami,indexed regular member,55.0
2020-09-16,Miami,indexed regular member,71.0
2020-09-17,Miami,indexed regular member,70.0
2020-09-18,Miami,indexed regular member,82.0
2020-09-19,Miami,indexed regular member,61.0
2020-09-20,Miami,indexed regular member,35.0
2020-09-21,Miami,indexed regular member,50.0
2020-09-22,Miami,indexed regular member,55.0
2020-09-23,Miami,indexed regular member,69.0
2020-09-24,Miami,indexed regular member,67.0
2020-09-25,Miami,indexed regular member,74.0
2020-09-26,Miami,indexed regular member,62.0
2020-09-27,Miami,indexed regular member,41.0
2020-09-28,Miami,indexed regular member,66.0
2020-09-29,Miami,indexed regular member,74.0
2020-09-30,Miami,indexed regular member,79.0
2020-10-01,Miami,indexed regular member,84.0
2020-10-02,Miami,indexed regular member,87.0
2020-10-03,Miami,indexed regular member,56.0
2020-10-04,Miami,indexed regular member,36.0
2020-10-05,Miami,indexed regular member,61.0
2020-10-06,Miami,indexed regular member,71.0
2020-10-07,Miami,indexed regular member,76.0
2020-10-09,Miami,indexed regular member,76.0
2020-10-10,Miami,indexed regular member,66.0
2020-10-11,Miami,indexed regular member,42.0
2020-10-12,Miami,indexed regular member,65.0
2020-10-13,Miami,indexed regular member,73.0
2020-10-14,Miami,indexed regular member,77.0
2020-10-15,Miami,indexed regular member,79.0
2020-10-16,Miami,indexed regular member,84.0
2020-10-17,Miami,indexed regular member,74.0
2020-10-18,Miami,indexed regular member,45.0
2020-10-19,Miami,indexed regular member,69.0
2020-10-20,Miami,indexed regular member,73.0
2020-10-21,Miami,indexed regular member,68.0
