date,location,src,value
2020-03-01,Miami-Dade County,indexed regular member,68.0
2020-03-02,Miami-Dade County,indexed regular member,99.0
2020-03-03,Miami-Dade County,indexed regular member,98.0
2020-03-04,Miami-Dade County,indexed regular member,99.0
2020-03-05,Miami-Dade County,indexed regular member,104.0
2020-03-06,Miami-Dade County,indexed regular member,109.0
2020-03-07,Miami-Dade County,indexed regular member,93.0
2020-03-08,Miami-Dade County,indexed regular member,64.0
2020-03-09,Miami-Dade County,indexed regular member,96.0
2020-03-10,Miami-Dade County,indexed regular member,97.0
2020-03-11,Miami-Dade County,indexed regular member,99.0
2020-03-12,Miami-Dade County,indexed regular member,97.0
2020-03-13,Miami-Dade County,indexed regular member,95.0
2020-03-14,Miami-Dade County,indexed regular member,67.0
2020-03-15,Miami-Dade County,indexed regular member,41.0
2020-03-16,Miami-Dade County,indexed regular member,68.0
2020-03-17,Miami-Dade County,indexed regular member,56.0
2020-03-18,Miami-Dade County,indexed regular member,44.0
2020-03-19,Miami-Dade County,indexed regular member,43.0
2020-03-20,Miami-Dade County,indexed regular member,49.0
2020-03-21,Miami-Dade County,indexed regular member,15.0
2020-03-22,Miami-Dade County,indexed regular member,3.0
2020-03-23,Miami-Dade County,indexed regular member,17.0
2020-03-24,Miami-Dade County,indexed regular member,13.0
2020-03-25,Miami-Dade County,indexed regular member,11.0
2020-03-26,Miami-Dade County,indexed regular member,9.0
2020-03-27,Miami-Dade County,indexed regular member,10.0
2020-03-28,Miami-Dade County,indexed regular member,0.0
2020-03-29,Miami-Dade County,indexed regular member,0.0
2020-03-30,Miami-Dade County,indexed regular member,4.0
2020-03-31,Miami-Dade County,indexed regular member,5.0
2020-04-01,Miami-Dade County,indexed regular member,5.0
2020-04-02,Miami-Dade County,indexed regular member,7.0
2020-04-03,Miami-Dade County,indexed regular member,7.0
2020-04-04,Miami-Dade County,indexed regular member,1.0
2020-04-05,Miami-Dade County,indexed regular member,0.0
2020-04-06,Miami-Dade County,indexed regular member,2.0
2020-04-07,Miami-Dade County,indexed regular member,3.0
2020-04-08,Miami-Dade County,indexed regular member,3.0
2020-04-09,Miami-Dade County,indexed regular member,4.0
2020-04-10,Miami-Dade County,indexed regular member,7.0
2020-04-11,Miami-Dade County,indexed regular member,0.0
2020-04-12,Miami-Dade County,indexed regular member,0.0
2020-04-13,Miami-Dade County,indexed regular member,5.0
