week,casual_dining,class,coffee,fast_casual_food,pizza,sandwiches
6,95.27010968,2019 Foursquare Visits Indexed ,102.8662363,99.28890554,100.1620735,95.60665379
7,104.2368652,2019 Foursquare Visits Indexed ,106.0787396,100.7171718,103.7703127,98.94699059
8,100.6679822,2019 Foursquare Visits Indexed ,103.652402,103.1865434,103.0918015,99.94004157
9,104.71185,2019 Foursquare Visits Indexed ,110.5055645,109.2227681,108.0779943,106.9652252
10,104.8318766,2019 Foursquare Visits Indexed ,111.737702,110.1205288,107.7895169,107.8239996
11,106.2452621,2019 Foursquare Visits Indexed ,118.0121234,114.3003121,109.7764014,110.4541635
12,105.6132087,2019 Foursquare Visits Indexed ,115.0677515,115.5469211,109.0736737,111.989023
13,104.3647112,2019 Foursquare Visits Indexed ,114.6404702,115.9581958,109.3042627,113.5386702
14,104.1033672,2019 Foursquare Visits Indexed ,114.2077749,116.9712448,112.1975991,111.4105749
15,103.1646844,2019 Foursquare Visits Indexed ,113.8558106,114.0509395,110.1873065,111.2893465
16,103.1092618,2019 Foursquare Visits Indexed ,116.3983509,113.6326647,110.8687384,107.868402
17,103.3170268,2019 Foursquare Visits Indexed ,117.3540682,117.5795949,110.7828521,114.1248246
18,103.5619197,2019 Foursquare Visits Indexed ,118.8081281,120.1235357,114.0987679,115.2223529
19,111.8852816,2019 Foursquare Visits Indexed ,119.5369655,117.5098913,113.0813164,113.5889467
20,102.9015001,2019 Foursquare Visits Indexed ,116.9898523,119.470989,112.5381393,115.1294421
21,100.9198705,2019 Foursquare Visits Indexed ,117.5935098,119.0021698,112.9802791,112.7562158
22,102.8525123,2019 Foursquare Visits Indexed ,115.9856344,117.6791643,113.0560163,110.9853032
23,100.7302961,2019 Foursquare Visits Indexed ,125.9018737,118.5592631,114.2098813,113.0239906
24,106.3372786,2019 Foursquare Visits Indexed ,117.9791057,117.5343401,112.2927737,112.5899633
25,100.9615668,2019 Foursquare Visits Indexed ,120.409009,118.6702726,112.7654593,113.34414
26,99.773134,2019 Foursquare Visits Indexed ,119.2199196,120.9280779,114.8087223,115.455611
27,100.4571261,2019 Foursquare Visits Indexed ,115.7825512,117.3773426,114.9230649,109.5749808
28,100.4932817,2019 Foursquare Visits Indexed ,115.6227661,120.0652989,114.3309437,111.742086
29,104.1964724,2019 Foursquare Visits Indexed ,119.2160991,121.864534,115.1531646,111.7473463
2,100.0,2020 Foursquare Visits Indexed ,100.0,100.0,100.0,100.0
3,85.14961769,2020 Foursquare Visits Indexed ,96.35876121,94.15499121,94.74199821,99.80570985
4,85.93923637,2020 Foursquare Visits Indexed ,95.68273289,94.647217,95.83687924,98.28633292
5,86.33032954,2020 Foursquare Visits Indexed ,95.8707331,95.17070377,95.56755023,97.46265308
6,82.63047184,2020 Foursquare Visits Indexed ,95.3283695,96.74704781,99.99843974,100.0656995
7,83.47342537,2020 Foursquare Visits Indexed ,94.84668557,95.26912293,96.23053479,98.39201484
8,90.6155301,2020 Foursquare Visits Indexed ,98.23315937,96.57751165,97.65192012,100.4244259
9,87.74570716,2020 Foursquare Visits Indexed ,97.70134288,98.83563276,96.47058344,99.33847852
10,88.24888375,2020 Foursquare Visits Indexed ,99.06731723,102.4388961,100.8289116,102.2989541
11,86.77892947,2020 Foursquare Visits Indexed ,100.1631042,103.19474,100.6954244,107.2534393
12,77.66387091,2020 Foursquare Visits Indexed ,93.0149507,97.20388778,101.0636516,105.3679719
13,34.67894828,2020 Foursquare Visits Indexed ,72.5307294,81.36440946,93.44071975,89.73672016
14,28.17790754,2020 Foursquare Visits Indexed ,60.46001223,77.53747513,84.88776078,83.32842383
15,28.86733546,2020 Foursquare Visits Indexed ,60.17986796,79.19448027,88.58517448,84.81380968
16,28.79185278,2020 Foursquare Visits Indexed ,58.08569066,77.45695767,84.81879744,79.03247666
17,34.45512577,2020 Foursquare Visits Indexed ,63.52241748,89.33803265,92.56470826,85.52826665
18,33.18723438,2020 Foursquare Visits Indexed ,65.36881745,93.81781807,92.47089895,88.14529377
19,34.97213593,2020 Foursquare Visits Indexed ,68.95781401,101.0066177,96.40865293,94.17385263
20,42.62331052,2020 Foursquare Visits Indexed ,77.07025659,97.03435217,96.15360977,96.82921775
21,42.74723911,2020 Foursquare Visits Indexed ,76.43823082,94.07343646,95.84769662,99.5617347
22,47.03482325,2020 Foursquare Visits Indexed ,79.73383849,95.48894546,95.69792544,102.2681512
23,51.60425943,2020 Foursquare Visits Indexed ,79.93159703,94.86050503,93.71696827,99.61449254
24,54.67518827,2020 Foursquare Visits Indexed ,83.11269716,97.41831259,97.99890281,102.5037762
25,59.57036679,2020 Foursquare Visits Indexed ,83.74218791,96.81045568,95.54513914,101.8127888
26,63.16485538,2020 Foursquare Visits Indexed ,86.69942928,96.32990189,94.87040497,106.3121208
27,62.46111291,2020 Foursquare Visits Indexed ,86.06005858,96.32552648,93.04539636,106.1045853
28,59.54866529,2020 Foursquare Visits Indexed ,86.60212953,98.11149792,94.71111959,104.3621399
29,61.52327355,2020 Foursquare Visits Indexed ,86.1445571,98.56115003,94.87386721,105.3248057
2,100.0,2019 Apptopia Usage Indexed - C,100.0,100.0,100.0,100.0
3,101.3213016,2019 Apptopia Usage Indexed - C,99.6957044,96.23887228,99.79710638,97.16179327
4,98.49350556,2019 Apptopia Usage Indexed - C,99.68709375,93.21081376,99.47334301,95.92756177
5,101.7251994,2019 Apptopia Usage Indexed - C,99.14329662,90.32031261,98.93787913,93.61928849
6,101.8753834,2019 Apptopia Usage Indexed - C,96.32191649,88.3486499,98.54540657,92.28409894
7,103.6841441,2019 Apptopia Usage Indexed - C,98.38187968,87.64094633,102.2020433,91.18134962
8,106.0012087,2019 Apptopia Usage Indexed - C,98.94390767,87.98889444,106.1079417,90.26342401
