i,ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code,transactions_
29,yD9-WrXijc_grVmi_zkCfQ,Hinata,4.5,558,$$$$,['restaurant_reservation'],False,"Sushi Bars, Japanese","sushi, japanese",37.78324,-122.42048,US,CA,San Francisco,94109,['restaurant_reservation']
30,lbZj8kCKlfZm3BmvPxzXvA,ChiliCali,5.0,18,,[],False,"Pop-Up Restaurants, Caterers, Indonesian","popuprestaurants, catering, indonesian",37.7770186,-122.416524,US,CA,San Francisco,94103,
31,KA-P3d2NcbJy5SQN-vCzPA,Aria Korean Street Food,4.0,882,$$,"['pickup', 'delivery']",False,"Korean, Tapas/Small Plates, Chicken Shop","korean, tapasmallplates, chickenshop",37.78655,-122.41795,US,CA,San Francisco,94109,"['pickup', 'delivery']"
32,d11DpeZN_2CBkaKGkEsKsw,HoM Korean Kitchen,4.0,60,,"['pickup', 'delivery']",False,Korean,korean,37.78095,-122.41453,US,CA,San Francisco,94102,"['pickup', 'delivery']"
33,f4xJC682dIZ-rxfA4-JVFA,BAIA,4.5,77,,"['pickup', 'delivery']",False,"Italian, Pizza, Cocktail Bars","italian, pizza, cocktailbars",37.77818,-122.42177,US,CA,San Francisco,94102,"['pickup', 'delivery']"
34,hmxVC4sJ8-mv2_Gw38fxXg,Birba,4.5,126,$$,['delivery'],False,"Wine Bars, American (New)","wine_bars, newamerican",37.77787,-122.42421,US,CA,San Francisco,94102,['delivery']
35,2TEUeYh5f4YOW_s1TZ_daQ,Poké Bar,4.0,215,$$,[],False,"Asian Fusion, Hawaiian, Poke","asianfusion, hawaiian, poke",37.776435349214,-122.417017556727,US,CA,San Francisco,94103,
36,-Fx5zmF1HgiX6ysG0PNg-Q,Leonore’s Deli & Taqueria,4.5,17,,"['pickup', 'delivery']",False,"Mexican, Juice Bars & Smoothies","mexican, juicebars",37.781585,-122.421822,US,CA,San Francisco,94102,"['pickup', 'delivery']"
37,PIGioaSFPfnSxZ-o8yNvJA,SAM's Diner,4.0,792,$$,"['pickup', 'delivery']",False,"American (Traditional), Breakfast & Brunch, Coffee & Tea","tradamerican, breakfast_brunch, coffee",37.7784622412135,-122.415510558861,US,CA,San Francisco,94102,"['pickup', 'delivery']"
38,Xdx2_n3nk9Td_aSe7E5ARQ,Rich Table,4.0,1242,$$$,['delivery'],False,"American (New), Cocktail Bars, Wine Bars","newamerican, cocktailbars, wine_bars",37.77485,-122.42284,US,CA,San Francisco,94102,['delivery']
39,6U51i7YFYecl8Ong_Aq1hQ,RAVISHSF,5.0,1,,[],False,American (New),newamerican,37.772878,-122.409926,US,CA,San Francisco,94103,
40,pxhNGH0mL_WHMAU4m3tB8A,Arepas En Bici,4.5,35,,[],False,Venezuelan,venezuelan,37.787152,-122.416361,US,CA,San Francisco,94109,
41,XVPiXV_TPivnr9szB5kc-A,Birdsong,4.5,274,$$$$,[],False,American (New),newamerican,37.7793175,-122.4105235,US,CA,San Francisco,94103,
42,mRd7YvLZTgorwQ36M9nDaA,Turtle Tower,3.5,777,$$,"['pickup', 'delivery']",False,"Vietnamese, Noodles","vietnamese, noodles",37.7839535,-122.4178971,US,CA,San Francisco,94109,"['pickup', 'delivery']"
43,c9VZtF34xQBdazi8k-YIMA,The Italian Homemade Company,4.0,199,$$,"['pickup', 'delivery']",False,Italian,italian,37.774414,-122.420937,US,CA,San Francisco,94102,"['pickup', 'delivery']"
44,0YPcBWiU-8t2kGe-DOhW5g,Tommy's Joynt,4.0,2888,$$,"['pickup', 'delivery']",False,"American (Traditional), Bars, Salad","tradamerican, bars, salad",37.785547,-122.421814,US,CA,San Francisco,94109,"['pickup', 'delivery']"
45,ma-IFK7XaRdVwA9lxNyMXA,Señor Sisig,4.0,1643,$$,['pickup'],False,"Filipino, Food Trucks, Asian Fusion","filipino, foodtrucks, asianfusion",37.7749295,-122.4194155,US,CA,San Francisco,94104,['pickup']
46,Oi2nJujUKeUtB09mq8hBDQ,Poached,4.0,24,$$$,[],False,"Buffets, Breakfast & Brunch","buffets, breakfast_brunch",37.7857486427649,-122.410553718801,US,CA,San Francisco,94102,
47,HzUyYVeHHbBsB5s2CsPHTg,Matko,4.5,19,,"['pickup', 'delivery']",False,"Korean, Fast Food","korean, hotdogs",37.77702,-122.41652,US,CA,San Francisco,94103,"['pickup', 'delivery']"
48,2H4HtGBwT8KRfUuWmE3uAg,Bota Tapas & Paella Bar,4.0,286,$$$,"['delivery', 'pickup', 'restaurant_reservation']",False,"Spanish, Seafood, Tapas/Small Plates","spanish, seafood, tapasmallplates",37.786985807903,-122.411396958251,US,CA,San Francisco,94102,"['delivery', 'pickup', 'restaurant_reservation']"
49,BcW0vRdM8N-rteR2FfV1jg,Deli Board,4.5,1392,$$,['delivery'],False,"Delis, Sandwiches","delis, sandwiches",37.7776247966103,-122.407012712007,US,CA,San Francisco,94103,['delivery']
50,kn782Mw92uchlBI2CyosOQ,Tokyo Hot Chicken San Francisco,4.0,21,,"['delivery', 'pickup']",False,Chicken Shop,chickenshop,37.792886,-122.397979,US,CA,San Francisco,94111,"['delivery', 'pickup']"
51,7dHj1XDVA_7AYXTfp5i-BQ,MOMO noodle,4.0,75,$$,"['delivery', 'pickup']",False,"Noodles, Food Trucks, Szechuan","noodles, foodtrucks, szechuan",37.791053771972656,-122.40193176269531,US,CA,San Francisco,94104,"['delivery', 'pickup']"
52,0FpTfyn_QiG7e6cjPjxKqQ,HI City,4.0,50,$$,"['delivery', 'pickup']",False,"Hawaiian, Poke, Filipino","hawaiian, poke, filipino",37.79139,-122.4013,US,CA,San Francisco,94104,"['delivery', 'pickup']"
53,T7yx68dDBG33VJXXks5Fhw,YUBU By The Shota,4.5,45,,"['delivery', 'pickup']",False,"Japanese, Sushi Bars","japanese, sushi",37.79143,-122.401056,US,CA,San Francisco,94104,"['delivery', 'pickup']"
54,ykvr3ib1gHQHI4tznSn8iA,Wayfare Tavern,4.0,3943,$$$,"['delivery', 'pickup']",False,American (Traditional),tradamerican,37.794169,-122.402359,US,CA,San Francisco,94111,"['delivery', 'pickup']"
