ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code
OS-inNsv-GFH_qrk1_rfDg,J P Cafe,2.5,167,$,['delivery'],False,"Chinese, Hong Kong Style Cafe","chinese, hkcafe",37.72946,-122.40453,US,CA,San Francisco,94134
W2Uu3BFI3dSCDVYUQR3IDg,YAYOI SF Kitchen,5.0,3,,"['delivery', 'pickup']",False,"Japanese, Asian Fusion","japanese, asianfusion",37.736819,-122.405298,US,CA,San Francisco,94124
kvqXqZqGfEqfA0shqAgXDw,Bloomstock,5.0,19,,['delivery'],False,"Coffee & Tea, Waffles, Cafes","coffee, waffles, cafes",37.72846,-122.39397,US,CA,San Francisco,94124
ZdKUKq7A94x9cEobARf2cA,Breakfast at Tiffany's,4.0,908,$$,"['delivery', 'pickup']",False,"Diners, Breakfast & Brunch, American (Traditional)","diners, breakfast_brunch, tradamerican",37.7304538339376,-122.40473203361,US,CA,San Francisco,94134
QueFVMcMlT-6aZFv2M47mg,Bottega 90,5.0,30,,"['delivery', 'pickup']",False,"Italian, Pasta Shops, Pizza","italian, pastashops, pizza",37.73683354777911,-122.405298,US,CA,San Francisco,94124
rtge6zAdSctY_HQv57kw5A,"M&Y, Malaysian Food",3.0,2,,"['delivery', 'pickup']",False,"Singaporean, Malaysian, Halal","singaporean, malaysian, halal",37.736858518859144,-122.4053576,US,CA,San Francisco,94107
xfsjCQtkPFdbWTwh9C2p9w,Nute's,4.5,246,$$,"['delivery', 'pickup']",False,"Thai, Noodles, Ramen","thai, noodles, ramen",37.73908,-122.41383,US,CA,San Francisco,94110
C5sETc8tIIsXtOcb-uW9Ew,Bayview Bistro,5.0,6,,,False,"Food Trucks, Pop-Up Restaurants","foodtrucks, popuprestaurants",37.73989,-122.38865,US,CA,San Francisco,94124
IoGQsIa715XpTA6ThLGkfw,The Polynesian Luau,4.0,21,$$,,False,Polynesian,polynesian,37.7068481445312,-122.413780212402,US,CA,Daly City,94014
N8WqaCKEzEDuVFuRN1y3wg,Pho #1,3.0,210,$,"['delivery', 'pickup']",False,"Vietnamese, Noodles","vietnamese, noodles",37.72934,-122.404,US,CA,San Francisco,94134
TofRTCAfrXcvf7BYx0tqkQ,Radio Africa Kitchen,4.5,341,$$,"['delivery', 'pickup']",False,"American (New), Moroccan, Ethiopian","newamerican, moroccan, ethiopian",37.73475,-122.39108,US,CA,San Francisco,94124
v5zt16ojbtRIU0I7VzqqVA,Vega,4.0,647,$$,['delivery'],False,"Italian, Pizza","italian, pizza",37.73934,-122.41742,US,CA,San Francisco,94110
4MvdxbwpYK8Ci4DH-HQguA,Cinco De Mayo Taqueria,3.5,191,$,['delivery'],False,Mexican,mexican,37.7317237854004,-122.405624389648,US,CA,San Francisco,94134
sT8TRzofJym5w0khZkOJhw,The Chairman Truck,4.0,1428,$,"['delivery', 'pickup']",False,"Food Trucks, Taiwanese","foodtrucks, taiwanese",37.7419264,-122.403654,US,CA,San Francisco,94124
Kx1WExNj5ogaFe0cyg9L6A,Little Nepal,4.0,455,$$,"['delivery', 'pickup']",False,"Himalayan/Nepalese, Wine Bars","himalayan, wine_bars",37.7391,-122.41361,US,CA,San Francisco,94110
IrfmgL_zZk3T_G8OzWoqMw,Tripleta,4.5,13,,,False,"Puerto Rican, Sandwiches","puertorican, sandwiches",37.761695,-122.424087,US,CA,San Francisco,94110
TIvMX0RWgx15o5zwfWe2Pw,Schlok’s,4.5,3,,,False,"Pop-Up Restaurants, Bagels","popuprestaurants, bagels",37.790938,-122.434436,US,CA,San Francisco,94115
KA-P3d2NcbJy5SQN-vCzPA,Aria Korean Street Food,4.0,891,$$,"['pickup', 'delivery']",False,"Korean, Tapas/Small Plates, Chicken Shop","korean, tapasmallplates, chickenshop",37.78655,-122.41795,US,CA,San Francisco,94109
pgjbSwK_8DH2o_zQsr3dRQ,AshYan's Lu Ruo Fan,5.0,4,,,False,"Taiwanese, Food Delivery Services","taiwanese, fooddeliveryservices",37.77713,-122.41964,US,CA,San Francisco,
